OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-16 R/B,1994-074B,2025-12-05T02:22:43.065120,14.79276617,.00069943,97.7210,8.7072,158.1139,263.6832,0,U,23343,999,67326,.14585469E-3,.1035E-4,0
SL-16 R/B,1994-077B,2025-12-05T06:55:28.447680,14.15546019,.00045733,70.9811,191.0891,289.7964,70.2666,0,U,23405,999,60287,.76838635E-4,.102E-5,0
ARIANE 40+ R/B,1995-021B,2025-12-05T05:34:08.243040,14.39686751,.00077191,98.4660,46.9112,69.5876,358.8202,0,U,23561,999,60565,.22990197E-3,.676E-5,0
SL-16 R/B,1995-058B,2025-12-05T06:58:49.984320,14.15480065,.00148999,71.0226,18.4437,264.5871,95.3552,0,U,23705,999,55449,.22129987E-3,.385E-5,0
SL-16 R/B,1996-051B,2025-12-05T06:21:15.127488,14.12395337,.00192678,70.7600,15.1066,270.6455,89.2457,0,U,24298,999,50831,.51374942E-4,.46E-6,0
ORBVIEW 2 (SEASTAR),1997-037A,2025-12-05T07:36:58.779936,14.35408613,.00020245,98.8454,136.2051,5.2555,354.8651,0,U,24883,999,49493,.24111544E-3,.646E-5,0
SL-16 R/B,1998-043G,2025-12-05T06:58:42.041568,14.26022792,.0008892,98.8113,287.0675,290.8627,69.1600,0,U,25400,999,42553,.89247801E-4,.168E-5,0
SL-16 R/B,1998-045B,2025-12-05T06:39:37.742688,14.16175839,.00073506,71.0125,20.1198,188.8344,171.2651,0,U,25407,999,41373,.42728379E-4,.37E-6,0
ISS (ZARYA),1998-067A,2025-12-05T06:04:12.236160,15.49328184,.00035858,51.6297,179.5463,206.2517,153.8291,0,U,25544,999,54169,.2719745E-3,.14736E-3,0
CZ-4B R/B,1999-025C,2025-12-05T03:07:00.774048,14.18240948,.0036141,98.6778,20.5797,256.4929,164.8023,0,U,25732,999,37476,.11239301E-3,.189E-5,0
OKEAN-O,1999-039A,2025-12-05T03:36:49.613472,14.80141372,.00007554,97.9613,34.9175,80.0593,280.0704,0,U,25860,999,42040,.2083653E-3,.1529E-4,0
SL-16 R/B,1999-039B,2025-12-05T03:40:15.087360,14.81570054,.00143554,98.0135,33.3033,199.6012,160.4650,0,U,25861,999,42286,.17660931E-3,.1335E-4,0
DELTA 2 R/B,1999-041E,2025-12-05T04:58:54.514560,14.11371498,.05047839,51.7622,318.5134,69.5665,295.8716,0,U,25876,999,34968,.42210453E-3,.2381E-4,0
HELIOS 1B,1999-064A,2025-12-05T06:26:18.293856,14.87233593,.00021034,98.1756,233.7121,53.1502,306.9906,0,U,25977,999,67122,.49312645E-3,.4384E-4,0
TERRA,1999-068A,2025-12-05T06:27:52.145856,14.60939476,.00034645,97.9759,31.2276,112.9038,312.0870,0,U,25994,999,38129,.21596868E-3,.1013E-4,0
SL-16 R/B,2000-006B,2025-12-05T06:26:34.014336,14.15809074,.00180947,71.0030,296.3666,318.9996,40.9765,0,U,26070,999,33519,.1561956E-3,.26E-5,0
TITAN 4B R/B,2000-047B,2025-12-05T06:02:32.508096,15.08694784,.00395536,67.9902,305.8832,153.6511,206.6662,0,U,26474,999,37866,.44893985E-3,.7056E-4,0
ENVISAT,2002-009A,2025-12-05T08:05:27.071232,14.38995002,.00011381,98.3588,290.2657,82.0760,34.5892,0,U,27386,999,24560,.10435754E-3,.279E-5,0
IDEFIX & ARIANE 42P R/B,2002-021B,2025-12-05T07:28:05.103552,14.30941837,.00128645,98.5777,274.0989,103.6661,256.5955,0,U,27422,999,23052,.24688831E-3,.606E-5,0
AQUA,2002-022A,2025-12-05T07:20:21.043104,14.61781360,.0000847,98.4025,300.0643,111.3897,356.5490,0,U,27424,999,25494,.49689186E-3,.2431E-4,0
CZ-4B R/B,2002-024C,2025-12-05T03:32:10.771296,14.14525459,.00492112,98.9010,27.9451,291.9022,127.3136,0,U,27432,999,21587,.10028085E-3,.149E-5,0
MIDORI II (ADEOS-II),2002-056A,2025-12-05T07:04:02.481888,14.29197994,.00002228,98.7625,292.2122,7.1080,353.0104,0,U,27597,999,19681,.23501812E-3,.552E-5,0
H-2A R/B,2002-056E,2025-12-04T20:42:17.591040,14.33666492,.0071506,98.3051,297.9336,84.2452,330.0012,0,U,27601,999,20052,.24331E-3,.653E-5,0
CZ-4B R/B,2003-049C,2025-12-04T23:04:56.970336,14.54898778,.0048598,98.6781,325.2321,159.5512,200.7643,0,U,28059,999,17282,.18971E-3,.777E-5,0
CZ-2C R/B,2004-012C,2025-12-05T06:36:44.701632,15.54780596,.0016787,97.7434,31.2846,299.5634,60.3946,0,U,28222,999,18956,.74904979E-3,.50251E-3,0
SL-16 R/B,2004-021B,2025-12-05T06:24:57.052800,14.14582552,.00056917,71.0023,70.6456,210.6772,149.4019,0,U,28353,999,10948,-.26277136E-4,-.98E-6,0
CZ-4B R/B,2004-035C,2025-12-05T02:12:55.032768,15.27186481,.00320219,97.3611,9.5395,305.9699,53.8571,0,U,28415,999,16546,.55792283E-3,.15032E-3,0
CZ-2C R/B,2004-046B,2025-12-05T05:53:53.924064,14.26935357,.01406621,98.1983,255.0897,74.2900,287.3747,0,U,28480,999,9503,.13871035E-3,.334E-5,0
ARIANE 5 R/B,2004-049H,2025-12-05T07:23:36.123936,14.84985295,.00835009,98.2520,139.3230,297.3762,61.8973,0,U,28499,999,13178,.21245989E-3,.1862E-4,0
CZ-2D R/B,2005-024B,2025-12-04T23:44:36.823776,15.52606734,.00066826,97.3627,346.2370,31.7339,328.4316,0,U,28738,999,12505,.65382984E-3,.40276E-3,0
ALOS (DAICHI),2006-002A,2025-12-05T06:33:36.210528,14.69451676,.00008156,98.1079,290.8137,108.9211,251.2083,0,U,28931,999,5961,.52867929E-3,.3082E-4,0
H-2A R/B,2006-002B,2025-12-05T07:39:42.603840,15.14337206,.00544889,98.2318,113.4633,201.5659,158.3276,0,U,28932,999,8014,.98216906E-3,.18632E-3,0
RESURS-DK 1,2006-021A,2025-12-04T19:49:36.703200,15.12091042,.00078405,69.9333,122.2869,264.5518,95.4754,0,U,29228,999,7318,.35246267E-3,.5981E-4,0
CZ-4B R/B,2006-046C,2025-12-05T02:40:40.466208,15.15754560,.00328161,97.5741,19.2712,233.7226,126.0974,0,U,29507,999,4571,.53452352E-3,.10271E-3,0
CZ-2C R/B,2007-010B,2025-12-05T07:42:28.917792,14.20205097,.00585838,98.3974,92.3454,207.6774,152.1282,0,U,31114,999,96632,.1764382E-3,.342E-5,0
COSMO-SKYMED 1,2007-023A,2025-12-05T07:05:33.938016,14.95681096,.00012645,97.8835,164.6465,78.7019,281.4344,0,U,31598,999,79,.57502213E-3,.6341E-4,0
COSMOS 2428,2007-029A,2025-12-05T07:18:36.437760,14.12887543,.00032441,70.9372,41.4906,34.2717,325.8612,0,U,31792,999,95076,.72106679E-4,.86E-6,0
SL-16 R/B,2007-029B,2025-12-05T07:44:22.343712,14.14815798,.00024026,70.9767,10.7501,265.0835,173.2828,0,U,31793,999,95202,-.69161397E-4,-.181E-5,0
KORONAS-FOTON,2009-003A,2025-12-05T03:46:31.575360,15.40938526,.001284,82.4313,13.9616,132.6729,227.5601,0,U,33504,999,93117,.44954382E-3,.186E-3,0
CZ-2C R/B,2011-030B,2025-12-05T07:33:40.858272,14.80862290,.00516603,97.8401,293.5864,298.4909,222.3968,0,U,37731,999,77612,.43804207E-3,.3406E-4,0
H-2A R/B,2012-025E,2025-12-04T22:33:07.968384,14.94365013,.0043923,98.4583,293.5688,262.6251,96.9975,0,U,38341,999,73406,.62425E-3,.6779E-4,0
SHIJIAN-16 (SJ-16),2013-057A,2025-12-05T07:02:15.203328,14.91956388,.00174456,74.9734,3.7440,337.3673,22.6743,0,U,39358,999,65742,.2275724E-3,.2282E-4,0
SL-4 R/B,2014-021B,2025-12-05T06:23:43.009728,15.36395447,.0102389,51.6089,76.9058,119.2625,241.8640,0,U,39679,999,64174,.51979863E-3,.21979E-3,0
ALOS-2,2014-029A,2025-12-05T07:16:51.545568,14.79456881,.00014854,97.9238,74.2558,106.6429,253.4946,0,U,39766,999,62291,.48657938E-3,.3583E-4,0
YAOGAN-29,2015-069A,2025-12-05T07:54:37.922976,14.82870076,.00006147,98.0226,2.4773,0.4437,359.6777,0,U,41038,999,54189,.12497488E-3,.958E-5,0
ASTRO-H (HITOMI),2016-012A,2025-12-04T02:13:45.434208,15.09266666,.00094613,30.9999,253.1139,91.0212,269.1510,0,U,41337,999,53777,.3818886E-3,.6332E-4,0
HXMT (HUIYAN),2017-034A,2025-12-05T06:44:13.516800,15.16157179,.00325954,43.0117,181.0185,355.6181,4.4377,0,U,42758,999,46820,.38959382E-3,.7522E-4,0
CZ-2C R/B,2018-054D,2025-12-04T02:29:02.911488,15.71910345,.00171646,35.1338,239.3732,52.5099,307.7191,0,U,43521,999,41369,.10935966E-2,.151724E-2,0
SAOCOM 1A,2018-076A,2025-12-05T05:53:51.168768,14.82165051,.00015556,97.8846,163.7772,85.5074,274.6317,0,U,43641,999,38737,.12696337E-3,.959E-5,0
H-2A R/B,2018-084L,2025-12-05T06:31:10.981632,15.36976001,.00279841,98.8774,171.8048,352.2092,7.8709,0,U,43682,999,39125,.81957382E-3,.30009E-3,0
SAOCOM 1B,2020-059A,2025-12-05T06:38:51.388224,14.82147287,.00012679,97.8843,162.9090,87.6632,272.4727,0,U,46265,999,28476,.12850095E-3,.971E-5,0
CSS (TIANHE),2021-035A,2025-12-05T06:48:03.993120,15.58716050,.00098342,41.4682,61.9587,333.0075,27.0251,0,U,48274,999,26286,.43162186E-3,.34071E-3,0
COSMOS 2550,2021-056A,2025-12-05T13:16:37.998048,15.33827034,.0008394,67.1428,325.6713,269.9188,90.1005,0,U,48865,999,24902,-.5496E-7,-.194E-5,0
CZ-2C R/B,2022-058K,2025-12-05T07:41:29.033952,15.47977537,.00462178,50.1910,81.3709,167.8364,192.3731,0,U,52794,999,19548,.7753762E-3,.42815E-3,0
CZ-2C R/B,2022-132E,2025-12-05T06:25:53.472000,15.54119878,.00237672,97.2940,335.3273,81.4335,278.9611,0,U,54039,999,17567,.78997053E-3,.52074E-3,0
