OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OKEAN-O,1999-039A,2025-12-06T15:18:27.832032,14.80145352,.00008053,97.9611,36.3920,85.7137,274.4167,0,U,25860,999,42062,.20460389E-3,.1501E-4,0
SL-16 R/B,1999-039B,2025-12-06T15:19:49.640736,14.81573192,.00144623,98.0133,34.7893,194.5610,165.5188,0,U,25861,999,42308,.16647505E-3,.1255E-4,0
DELTA 2 R/B,1999-041E,2025-12-06T14:58:19.820928,14.11378268,.05047773,51.7620,312.8599,73.7412,291.8423,0,U,25876,999,34988,.3799296E-3,.2117E-4,0
HELIOS 1B,1999-064A,2025-12-06T14:43:57.424512,14.87244005,.00020499,98.1755,235.0978,51.0249,309.1149,0,U,25977,999,67142,.40767979E-3,.3615E-4,0
TERRA,1999-068A,2025-12-06T15:33:38.850912,14.60942173,.0003497,97.9757,32.5562,110.1193,3.2989,0,U,25994,999,38149,.21554677E-3,.1011E-4,0
SL-16 R/B,2000-006B,2025-12-06T14:39:36.328032,14.15809801,.00181778,71.0030,293.5439,317.1430,42.8275,0,U,26070,999,33538,.12279799E-3,.194E-5,0
TITAN 4B R/B,2000-047B,2025-12-06T12:16:23.822976,15.08710819,.00394547,67.9903,302.3459,152.1623,208.1649,0,U,26474,999,37885,.39625968E-3,.6213E-4,0
ENVISAT,2002-009A,2025-12-06T16:03:33.585408,14.38995788,.00011478,98.3590,291.5639,81.9084,91.1319,0,U,27386,999,24579,.10581281E-3,.284E-5,0
IDEFIX & ARIANE 42P R/B,2002-021B,2025-12-06T13:40:30.915264,14.30943338,.00128934,98.5777,275.3410,100.2556,260.0081,0,U,27422,999,23070,.250557E-3,.615E-5,0
AQUA,2002-022A,2025-12-06T14:35:17.143584,14.61787006,.00009028,98.4029,301.3873,112.6755,3.0890,0,U,27424,999,25513,.46715851E-3,.2282E-4,0
CZ-4B R/B,2002-024C,2025-12-06T15:26:55.555584,14.14525842,.00491792,98.9008,29.4364,287.5667,187.2608,0,U,27432,999,21608,.93521298E-4,.136E-5,0
MIDORI II (ADEOS-II),2002-056A,2025-12-06T14:59:29.287392,14.29199428,.00001623,98.7627,293.5492,10.5481,349.5704,0,U,27597,999,19700,.23590525E-3,.554E-5,0
H-2A R/B,2002-056E,2025-12-06T15:07:52.300416,14.33668654,.00714941,98.3055,299.6309,79.0599,93.6993,0,U,27601,999,20077,.24440939E-3,.656E-5,0
CZ-4B R/B,2003-049C,2025-12-06T14:41:46.121568,14.54900984,.00487064,98.6783,326.9449,154.5673,205.7935,0,U,28059,999,17306,.18431842E-3,.753E-5,0
CZ-2C R/B,2004-012C,2025-12-06T15:02:53.935296,15.54919421,.00167456,97.7429,32.7460,294.3692,65.5813,0,U,28222,999,18977,.80708928E-3,.54455E-3,0
SL-16 R/B,2004-021B,2025-12-06T14:39:40.094208,14.14582258,.00056309,71.0022,67.8264,209.1181,150.9628,0,U,28353,999,10967,-.4171511E-4,-.128E-5,0
CZ-4B R/B,2004-035C,2025-12-06T14:22:58.712160,15.27222324,.00319384,97.3608,11.0257,300.3802,59.4280,0,U,28415,999,16569,.45813459E-3,.12338E-3,0
CZ-2C R/B,2004-046B,2025-12-06T15:33:21.743712,14.26936222,.01406681,98.1985,256.4048,70.1769,291.4514,0,U,28480,999,9523,.13940162E-3,.336E-5,0
ARIANE 5 R/B,2004-049H,2025-12-06T14:07:09.101856,14.84990251,.0083434,98.2522,140.6491,293.1717,66.0723,0,U,28499,999,13197,.2203942E-3,.1934E-4,0
CZ-2D R/B,2005-024B,2025-12-06T14:24:43.962048,15.52721102,.00064466,97.3630,347.8883,26.9532,333.2055,0,U,28738,999,12530,.55634805E-3,.34371E-3,0
ALOS (DAICHI),2006-002A,2025-12-06T15:14:41.401824,14.69459498,.00008265,98.1085,292.1658,112.4143,247.7151,0,U,28931,999,5981,.51516631E-3,.3003E-4,0
H-2A R/B,2006-002B,2025-12-06T15:22:42.049344,15.14382070,.00544572,98.2320,114.8925,197.0027,162.9380,0,U,28932,999,8034,.91471164E-3,.17366E-3,0
RESURS-DK 1,2006-021A,2025-12-06T09:55:49.837728,15.12107015,.00077614,69.9340,118.1849,263.4376,96.5906,0,U,29228,999,7342,.31037999E-3,.5256E-4,0
CZ-4B R/B,2006-046C,2025-12-06T15:07:05.892384,15.15779727,.00328666,97.5736,20.7850,228.2352,131.6070,0,U,29507,999,4594,.42352518E-3,.8127E-4,0
CZ-2C R/B,2007-010B,2025-12-06T14:08:37.190976,14.20205945,.00586477,98.3974,93.5498,203.9434,155.9014,0,U,31114,999,96650,.17635202E-3,.342E-5,0
COSMO-SKYMED 1,2007-023A,2025-12-06T13:35:57.217344,14.95696573,.00011621,97.8835,165.9259,78.6726,281.4625,0,U,31598,999,98,.54226524E-3,.5978E-4,0
COSMOS 2428,2007-029A,2025-12-06T13:53:41.440704,14.12887833,.00033168,70.9372,38.8151,32.6739,327.4587,0,U,31792,999,95094,.80518607E-4,.102E-5,0
SL-16 R/B,2007-029B,2025-12-06T12:58:42.714624,14.14815650,.00023652,70.9765,8.1892,264.4837,257.2055,0,U,31793,999,95219,-.6100532E-4,-.166E-5,0
KORONAS-FOTON,2009-003A,2025-12-06T14:03:43.792992,15.40976621,.00129314,82.4307,12.4814,127.8771,232.3647,0,U,33504,999,93139,.36753146E-3,.15228E-3,0
CZ-2C R/B,2011-030B,2025-12-06T16:03:03.710016,14.80870576,.00515301,97.8408,294.9099,293.9644,239.4474,0,U,37731,999,77632,.41307974E-3,.3209E-4,0
H-2A R/B,2012-025E,2025-12-06T14:43:38.010432,14.94385182,.00438104,98.4589,295.3713,256.8470,102.7857,0,U,38341,999,73431,.55446145E-3,.6016E-4,0
SHIJIAN-16 (SJ-16),2013-057A,2025-12-06T13:36:54.610272,14.91961721,.00175072,74.9725,1.3331,334.3387,25.6931,0,U,39358,999,65761,.21625068E-3,.2167E-4,0
SL-4 R/B,2014-021B,2025-12-06T15:10:37.337376,15.36449968,.0102313,51.6086,70.2716,124.1129,236.9612,0,U,39679,999,64195,.47337E-3,.20002E-3,0
ALOS-2,2014-029A,2025-12-06T12:29:54.834720,14.79466407,.00015175,97.9236,75.4559,105.6706,254.4673,0,U,39766,999,62309,.49410274E-3,.364E-4,0
YAOGAN-29,2015-069A,2025-12-06T14:40:49.496736,14.82872443,.00005064,98.0223,3.7635,357.5326,2.5885,0,U,41038,999,54208,.12119521E-3,.928E-5,0
ASTRO-H (HITOMI),2016-012A,2025-12-06T09:46:55.850304,15.09293028,.00094752,30.9989,238.1941,114.7865,245.3759,0,U,41337,999,53812,.34891694E-3,.5797E-4,0
HXMT (HUIYAN),2017-034A,2025-12-06T14:21:33.869952,15.16172998,.00323563,43.0117,173.7072,3.9927,356.1173,0,U,42758,999,46840,.32318694E-3,.6198E-4,0
CZ-2C R/B,2018-054D,2025-12-06T09:20:40.646976,15.72509424,.00165044,35.1329,223.9154,76.4536,283.8034,0,U,43521,999,41405,.93051745E-3,.132048E-2,0
SAOCOM 1A,2018-076A,2025-12-06T14:18:09.316224,14.82147126,.00014901,97.8853,165.1078,87.8964,272.2420,0,U,43641,999,38757,.12812043E-3,.968E-5,0
H-2A R/B,2018-084L,2025-12-06T15:19:51.263328,15.37052057,.00278757,98.8773,173.4548,347.5114,12.5432,0,U,43682,999,39146,.79761714E-3,.29269E-3,0
SAOCOM 1B,2020-059A,2025-12-06T13:25:57.230688,14.82149038,.00012523,97.8849,164.1730,87.2052,272.9305,0,U,46265,999,28495,.78112183E-4,.57E-5,0
CSS (TIANHE),2021-035A,2025-12-06T15:05:32.998560,15.58799060,.00095344,41.4683,53.7961,342.8614,17.1901,0,U,48274,999,26307,.36466504E-3,.28802E-3,0
COSMOS 2550,2021-056A,2025-12-06T12:45:06.981120,15.33831192,.0008392,67.1444,322.7124,270.0197,89.9996,0,U,48865,999,24917,.81497302E-4,.2491E-4,0
CZ-2C R/B,2022-058K,2025-12-06T13:07:33.971808,15.48070272,.00460312,50.1912,75.1214,172.9477,187.2148,0,U,52794,999,19567,.72203675E-3,.39941E-3,0
CZ-2C R/B,2022-132E,2025-12-06T14:52:53.096736,15.54256627,.0023638,97.2944,336.7036,77.0037,283.3855,0,U,54039,999,17588,.7743751E-3,.51288E-3,0
